N,fstLidL,Cc_first,Cc_last,Cc_middle,Cg_first,Cg_last,Cg_middle
20,1.0,1.04958185104746e-15,1.14638570004707e-16,5.7928864275157e-17,4.25910848385549e-17,2.25933568277749e-17,1.09278549123421e-17
20,3.0,1.77550396106122e-15,1.1281507130656002e-16,5.955976236056411e-17,7.81340262146371e-17,2.34767583622593e-17,1.18903564639294e-17
20,5.0,2.3631566377921003e-15,1.10942800360887e-16,6.0805307983838e-17,1.0687656006367e-16,2.4136224907297502e-17,1.27172012673521e-17
20,7.0,2.8974600544467702e-15,1.0884779023554201e-16,5.96002299778593e-17,1.33551977324744e-16,2.4597916928806702e-17,1.2963142437510901e-17
20,9.0,3.3466055436094e-15,1.0377769861727301e-16,5.20720161577007e-17,1.6084191686054601e-16,2.44343452785145e-17,1.18247171023691e-17
20,11.0,3.913041680731e-15,1.02850437090017e-16,5.15995839916178e-17,1.81560781354107e-16,2.4698410282692e-17,1.1953373423796401e-17
20,13.0,4.435494718775941e-15,1.0410334913575102e-16,5.47608726855664e-17,2.0362659636397003e-16,2.5612773027325904e-17,1.2982655233084101e-17
20,15.0,4.868337481810471e-15,1.0051610491951701e-16,5.2813684040835807e-17,2.26199651940902e-16,2.5342633193881504e-17,1.2825791296069001e-17
20,17.0,5.448227263743e-15,1.0322264150151401e-16,5.6494184818635e-17,2.46614124206749e-16,2.65692991866087e-17,1.40203881212549e-17
20,19.0,5.948454273875251e-15,1.0250236963919201e-16,5.61018645211809e-17,2.6774440744032305e-16,2.6914791204176502e-17,1.42033749026894e-17
20,21.0,6.499447972774611e-15,1.01753272678287e-16,5.56657784702285e-17,2.8839587377002604e-16,2.72253695689423e-17,1.43627927194465e-17
30,1.0,1.0382658573019801e-15,1.0664839407708901e-16,5.74685113409772e-17,3.9997864108800705e-17,2.55014730923652e-17,1.3297836096097801e-17
30,3.0,1.7568935220456303e-15,1.0638555089603502e-16,5.68559829515546e-17,7.38624823328619e-17,2.6629064647560203e-17,1.3784335336198e-17
30,5.0,2.3408671357621905e-15,1.0514986465360001e-16,5.7866435863713e-17,1.0155358463607601e-16,2.73219237988429e-17,1.45960521170861e-17
30,7.0,2.78420156199799e-15,9.86527923135377e-17,5.553005277857451e-17,1.30057984950689e-16,2.6814923762160903e-17,1.46230328313799e-17
30,9.0,3.3194872159925905e-15,9.878499247084111e-17,5.3080671921177804e-17,1.53744576612454e-16,2.7558471475507e-17,1.4359250574864303e-17
30,11.0,3.8834021774932505e-15,1.0040584735130502e-16,5.35606677623399e-17,1.7381834195757602e-16,2.84781580131385e-17,1.47632368704503e-17
30,13.0,4.41375723362531e-15,1.0028738210950301e-16,5.561139738522381e-17,1.9572720537546004e-16,2.91418325914868e-17,1.5716915588901e-17
30,15.0,4.83456002388464e-15,9.862793245317051e-17,5.2635069771489204e-17,2.1798094043811503e-16,2.93148012549417e-17,1.52124205375102e-17
30,17.0,5.4235786904659406e-15,9.854093304134221e-17,5.416849961355711e-17,2.3782872240991405e-16,2.98758300225552e-17,1.5986136400209302e-17
30,19.0,5.920900472696031e-15,9.790056972161282e-17,5.4284448277285405e-17,2.59237589196486e-16,3.02951963355456e-17,1.6346231867559902e-17
30,21.0,6.45437720369753e-15,9.70757590885729e-17,5.3350283560621705e-17,2.79357404236347e-16,3.06017500364545e-17,1.63727504759085e-17
40,1.0,1.02868381372965e-15,1.0351383869084601e-16,5.4261235929263e-17,3.8337908847702005e-17,2.89353369404553e-17,1.47897173819255e-17
40,3.0,1.73826320867065e-15,1.0228058060085701e-16,5.2959891170995306e-17,7.13364295305356e-17,2.9691220803665807e-17,1.4997883061543902e-17
40,5.0,2.2697117506579e-15,9.94546565197262e-17,5.1838306887548205e-17,9.957766837339591e-17,3.0021199336887904e-17,1.52722769371162e-17
