N,fstLidL,Cc_first,Cc_last,Cc_middle,Cg_first,Cg_last,Cg_middle
90,1.0,9.899824437770222e-16,8.35738000868714e-20,4.19393888370482e-20,3.60752151450969e-20,3.78405004103581e-20,1.87370948215672e-17
90,3.0,1.6663549682453902e-15,8.242138033144231e-20,4.134164906800271e-20,6.538614412783411e-20,3.8240065799571106e-20,1.89355655375857e-17
90,5.0,2.2483464132630504e-15,8.13506864925505e-20,4.0904678916588305e-20,8.984682986015612e-20,3.8639105865332306e-20,1.91765310112287e-17
90,7.0,2.71425032066042e-15,8.044860913595522e-20,4.0444557339494506e-20,1.149540125097e-19,3.9093352391712905e-20,1.9405832361021902e-17
90,9.0,3.27787444603646e-15,7.817487663891951e-20,4.18850412340418e-20,1.3483843211100001e-19,3.86659926278514e-20,2.04485319221939e-17
90,11.0,3.8156576643494104e-15,7.74889522404901e-20,4.15150387087106e-20,1.5562751127310003e-19,3.90778730207048e-20,2.0663989623886703e-17
90,13.0,4.34350729547547e-15,7.69335322621496e-20,4.12026462137148e-20,1.7461235915320002e-19,3.94409026452896e-20,2.08644235242548e-17
90,15.0,4.77045746282045e-15,7.718466342678151e-20,4.27179945329072e-20,1.953950465597e-19,4.03209036082883e-20,2.2050253053843202e-17
90,17.0,5.349121237839861e-15,7.652273648554381e-20,4.2310198647974204e-20,2.1422775179180001e-19,4.06577193519152e-20,2.2215498457707603e-17
90,19.0,5.855353973825941e-15,7.59685273446048e-20,4.2005597260111203e-20,2.339708476026e-19,4.1002603801370504e-20,2.24059641942693e-17
90,21.0,6.3818532694575504e-15,7.61102549477518e-20,4.20627364609901e-20,2.517188559265e-19,4.16754542386869e-20,2.28083309533971e-17
