N,fstLidL,Cc_first,Cc_last,Cc_middle,Cg_first,Cg_last,Cg_middle,FREQ1,FREQ2,KAPPA,T1_PURCELL,G_COUPLING
90,1.0,9.899824437770222e-16,8.35738000868714e-20,4.193938883704821e-17,3.6075215145096904e-17,3.78405004103581e-17,1.87370948215672e-17,17.08332126269653,24.51399422296691,1.529217740327414,647.9440983565694,84.16833667334652
90,3.0,1.6663549682453902e-15,8.242138033144231e-20,4.134164906800271e-17,6.53861441278341e-17,3.8240065799571104e-17,1.89355655375857e-17,16.20288725829771,24.170611988738546,2.9366746860098463,553.5796947821206,78.15631262525082
90,5.0,2.2483464132630504e-15,8.13506864925505e-20,4.0904678916588304e-17,8.984682986015611e-17,3.8639105865332304e-17,1.91765310112287e-17,15.621866452865467,23.990174834745382,4.0788750217536505,479.0531709930201,78.15631262525082
90,7.0,2.71425032066042e-15,8.044860913595522e-20,4.0444557339494505e-17,1.14954012509774e-16,3.909335239171291e-17,1.9405832361021902e-17,15.247412955300875,23.894936484888113,4.902504969741225,429.86633797580305,78.15631262525082
90,9.0,3.27787444603646e-15,7.817487663891951e-20,4.18850412340418e-17,1.3483843211105203e-16,3.8665992627851404e-17,2.04485319221939e-17,14.724721230608123,23.641176787626232,5.7544489251496405,365.6334541371812,78.15631262524987
90,11.0,3.8156576643494104e-15,7.74889522404901e-20,4.15150387087106e-17,1.5562751127318002e-16,3.9077873020704705e-17,2.0663989623886703e-17,14.431133750769588,23.577571114071386,6.586176524429078,329.48939677533264,78.15631262525082
90,13.0,4.34350729547547e-15,7.69335322621496e-20,4.12026462137148e-17,1.7461235915325703e-16,3.94409026452896e-17,2.08644235242548e-17,14.186616701425624,23.528125096927106,7.340825552604733,300.1314104316293,72.14428857715511
90,15.0,4.77045746282045e-15,7.718466342678151e-20,4.2717994532907204e-17,1.9539504655971802e-16,4.0320903608288206e-17,2.2050253053843202e-17,13.856398405570273,23.313274537512683,7.869684977646845,266.78312428530296,72.14428857715416
90,17.0,5.349121237839861e-15,7.652273648554381e-20,4.231019864797421e-17,2.1422775179180901e-16,4.06577193519152e-17,2.2215498457707603e-17,13.660155693038098,23.284298064657328,8.620627143623608,245.54323239090022,72.14428857715511
90,19.0,5.855353973825941e-15,7.59685273446048e-20,4.20055972601112e-17,2.3397084760263404e-16,4.1002603801370505e-17,2.24059641942693e-17,13.505387157032358,23.258935538883797,9.22380381081022,229.47759135913154,78.15631262524987
90,21.0,6.3818532694575504e-15,7.61102549477518e-20,4.20627364609901e-17,2.51718855926574e-16,4.16754542386869e-17,2.28083309533971e-17,13.33165118033552,23.199063832841354,9.843854241843811,212.41969429433715,78.15631262525082
